key,device_name,transpiled_depth,job_id,counts,execution_time
6e8d736f,aer_sim,6,,{'00': 1024},0.2543675899505615
0747221b,aer_sim,10,,"{'000': 968, '111': 11, '011': 9, '101': 9, '010': 9, '110': 7, '001': 7, '100': 4}",0.3218111991882324
ee8bc539,aer_sim,14,,"{'0001': 990, '0111': 3, '1010': 3, '1000': 1, '0000': 1, '0101': 2, '1100': 4, '1111': 3, '0100': 2, '1110': 1, '1011': 2, '0010': 2, '1101': 4, '1001': 3, '0110': 2, '0011': 1}",0.1906886100769043
27f630e7,aer_sim,18,,"{'01111': 347, '11010': 339, '01000': 337, '11110': 1}",0.3136129379272461
ba56d45e,aer_sim,22,,"{'000010': 19, '101100': 15, '000101': 16, '011100': 21, '010100': 12, '100110': 21, '111100': 19, '101111': 10, '101001': 17, '110000': 17, '111010': 19, '001010': 18, '011000': 19, '011001': 21, '110111': 20, '011011': 20, '001101': 18, '111111': 14, '111110': 11, '001011': 18, '111001': 18, '010001': 21, '011111': 21, '000000': 16, '010000': 21, '010010': 11, '010011': 17, '101000': 13, '011101': 22, '100001': 11, '100100': 8, '011010': 21, '000011': 12, '100000': 17, '100101': 15, '111101': 16, '110011': 11, '000110': 12, '001111': 10, '100011': 22, '001110': 14, '010101': 19, '110101': 13, '011110': 20, '110001': 19, '110100': 12, '000111': 16, '110010': 14, '101101': 10, '001000': 14, '101010': 14, '001100': 8, '100111': 14, '101011': 20, '111011': 14, '010110': 21, '000001': 12, '110110': 15, '010111': 17, '111000': 10, '100010': 20, '101110': 18, '000100': 13, '001001': 17}",0.1743764877319336
6e8d736f,aer_noisy,12,,"{'00': 962, '11': 9, '01': 18, '10': 35}",13.476789712905884
0747221b,aer_noisy,175,,"{'100': 47, '000': 771, '011': 34, '010': 47, '101': 28, '001': 46, '111': 23, '110': 28}",9.2532377243042
ee8bc539,aer_noisy,656,,"{'0000': 47, '0001': 466, '0011': 56, '1010': 38, '0101': 46, '0010': 42, '0111': 34, '0110': 32, '0100': 30, '1111': 35, '1011': 40, '1001': 41, '1000': 36, '1100': 27, '1110': 23, '1101': 31}",8.270015239715576
27f630e7,aer_noisy,2077,,"{'00111': 44, '11010': 46, '01010': 36, '00010': 35, '10000': 32, '00110': 28, '11111': 24, '01111': 38, '01100': 27, '01101': 30, '01110': 29, '11100': 27, '01011': 27, '10100': 30, '00000': 32, '10010': 34, '10101': 35, '01000': 44, '10111': 30, '00100': 36, '10001': 25, '11001': 32, '11101': 25, '11110': 26, '00101': 32, '01001': 32, '11011': 34, '11000': 30, '00011': 35, '00001': 24, '10011': 27, '10110': 38}",8.569655656814575
ba56d45e,aer_noisy,6318,,"{'001010': 19, '011011': 22, '111111': 15, '110010': 17, '101110': 17, '011100': 18, '101101': 11, '100111': 15, '011110': 21, '100011': 15, '101010': 21, '001001': 15, '001111': 19, '100110': 29, '101011': 16, '010011': 16, '111100': 23, '000100': 25, '000111': 13, '111010': 17, '111101': 13, '100000': 20, '111000': 15, '101001': 16, '001101': 17, '001100': 21, '100101': 18, '000101': 9, '110110': 19, '001011': 15, '000110': 13, '110001': 12, '011000': 14, '010110': 18, '100100': 19, '110111': 18, '100001': 11, '101111': 15, '100010': 20, '011101': 13, '111001': 17, '110000': 11, '010101': 15, '110011': 13, '001000': 18, '010100': 14, '000011': 18, '011111': 17, '010111': 15, '010000': 17, '101000': 21, '011010': 21, '011001': 12, '111011': 10, '110101': 17, '101100': 15, '000001': 16, '111110': 19, '010010': 8, '001110': 11, '010001': 10, '110100': 9, '000010': 10, '000000': 10}",19.576524019241333
6e8d736f,ibm_fez,8,cxazgvkpjw30008h8860,,
0747221b,ibm_fez,150,cxazgwkbqkhg008951hg,,
ee8bc539,ibm_fez,500,cxazgxkrkac00089qvjg,,
27f630e7,ibm_fez,1751,cxazgykpjw30008h8870,,
ba56d45e,ibm_fez,5206,cxazh04pjw30008h888g,,
6e8d736f,ibm_torino,8,cxazh1wztp30008g6skg,,
0747221b,ibm_torino,149,cxazh2mztp30008g6sm0,,
ee8bc539,ibm_torino,504,cxazh4cpx23g008c04c0,,
27f630e7,ibm_torino,1747,cxazh5cbqkhg008951k0,,
ba56d45e,ibm_torino,5327,cxazh6wpx23g008c04d0,,
6e8d736f,ibm_kyiv,12,cxazh8nbqkhg008951m0,,
0747221b,ibm_kyiv,188,cxazh9xpjw30008h8890,,
ee8bc539,ibm_kyiv,741,cxazhb5rkac00089qvng,,
27f630e7,ibm_kyiv,3197,cxazhc5px23g008c04fg,,
ba56d45e,ibm_kyiv,8298,cxazhdxpx23g008c04gg,,
